Number,Name,Other Name,Usage,Side Effects
E100,Curcumin,Tumeric Yellow,"Naturally occurring orange/yellow colour, extracted from the spice turmeric","As a component of turmeric, curcumin may interact with prescription drugs and dietary supplements. In high amounts, it may be unsafe for women during pregnancy. May cause side effects, such as nausea, diarrhea, hives, or dizziness"
E101,Riboflavin or lactoflavin,,Naturally occurring B group vitamin usually obtained from yeast or produced synthetically.,
E102,Tartrazine,Yellow 5,Widely used yellow/orange colour,"Hyperactivity, Asthma, Urticaria, Rhinitis, Bronchospasm, Blurred vision, Skin problems, Insomnia, Night terrors, aspirin sensitivity; migraine, purple skin patches. Banned in Norway and Austria."
E104,Quinoline Yellow,,"A synthetic coal tar dye, greenish yellow in colour",
E110,Sunset Yellow FCF,Yellow 6,"A synthetic coal tar dye, yellow in colour, used with E102","The FSA recommended that children showing signs of hyperactivity or attention deficit hyperactivity disorder (ADHD) should avoid. Some people show allergic reactions to it (rashes, swelling, vomiting), hyperactivity; allergies; aspirin sensitivity, kidney tumours, chromosomal damage, abdominal pain, nausea and vomiting, indigestion, distaste for food; Asthma, Urticaria, Insomnia, Angioedema, seen increased incidence of tumours in animals."
E1103,Invertase,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E1105,Lysozyme,,Preservative,
E120,Cochineal,,Natural red colour obtained from egg yolk and dried insects. Can be manufactured,
E1200,Polydextrose,,"Natural occurring sugar in grapes, corn, etc.",
E1200,Polydextrose,,,
E1201,Polyvinylpyrrolidone,,,
E1202,Polyvinylpolypyrrolidone,,,
E122,Carmoisine,,"A synthetic coal tar dye, red/purple in colour",
E123,Amaranth,,"A synthetic coal tar dye, red in colour",
E124,Ponceau 4R,,"A synthetic coal tar dye, red in colour",
E127,Erythrosine,Red 3,"A synthetic coal tar dye, red in colour, rich in mineral iodine.","The FSA recommended that children showing signs of hyperactivity or attention deficit hyperactivity disorder (ADHD) should avoid. Might increase thyroid hormone levels and lead to hyperthyroidism. Can cause sensitivity to light, was shown to cause thyroid cancer in rats in a study in 1990. May also cause urticaria, insomnia and asthma."
E128,Red 2G,,"A synthetic coal tar dye, red in colour.",
E129,Allura Red AC,Red 40,Colouring agent,"May be an allergen in allergic skin conditions, has also been connected with cancer in mice and can cause hyperactivity"
E131,Patent Blue V,,Colouring agent,
E132,Indigo Carmine,,"A synthetic coal tar dye, blue in colour.",
E133,Brilliant Blue FCF,Blue 1,"A synthetic coal tar dye, blue in colour. Often mixed with E102 to make green.","The FSA recommended that children showing signs of hyperactivity or attention deficit hyperactivity disorder (ADHD) should avoid. Causes hyperactivity, asthma, urticaria and insomnia"
E140,Chlorophyll,,Naturally occurring green pigment found in leaves and stems of plants. Also manufactured.,
E1400 - 1414,Starches,,"Generally of maize, corn, potato, wheat or tapioca in origin. Used to modify texture and stability.",
E1404,Oxidised starch,,,
E141,Copper complex of Chlorophyll,,A more stable colour obtained by a reaction between copper and manufactured chlorophyll.,
E1410,Monostarch phosphate,,,
E1412,Distarch phosphate,,,
E1413,Phosphated distarch phosphate,,,
E1414,Acetylated starch,,,
E142,Green S,,"A synthetic coal tar dye, green in colour.",
E1420,Acetylated Starch,,,
E1422,Acetylated distarch adipate,,,
E1440,Hydroxyl propyl starch,,,
E1442,Hydroxy propyl distarch phosphate,,,
E1450,Starch sodium octenyl succinate,,,
E1451,Acetylated oxidised starch,,,
E150,Caramel,,Commonly used brown colour and flavouring agent made from the caramelisation or burning of sugar by heat or chemicals.,
E1505,Triethyl citrate,,,
E150b,Caustic sulphite caramel,,Colouring agent,
E150c,Ammonia caramel,,Colouring agent,
E150d,Sulphite ammonia caramel,,Colouring agent,
E151,Black PN,,"A synthetic coal tar dye, black in colour.",
E1518,Glyceryl triacetate; triacetin,,,
E1520,Propylene Glycol,,"Synthetic carrier for extracts, flavours and spices. Functions as a stabiliser and humectant.",
E153,Carbon Black/Vegetable Carbon,,"Natural black colour obtained from burnt plant material, now often manufactured.",
E154,Brown FK,,"A synthetic coal tar dye, brown in colour.",
E155,Chocolate Brown HT,,"A synthetic coal tar dye, brown in colour.",
E160 a - f,Carotenoids,,"Plant pigments derived from carrots, tomatoes, apricots, oranges, rosehip and green leafy vegetables. Now mostly manufactured.",
E160a,"Alpha-, Beta, Gamma-carotenes",,Beta-carotene is a well-known substance that is converted by the body to Vitamin A. Orange in colour.,
E160b,Annatto,"Bixin, Norbixin, Annatto Extracts",Orange/peach pigment naturally present in butter and cheese.,"Annatto is safe for most people in general. Some may experience an allergic reaction to it, including itchiness, swelling, low blood pressure, hives, and stomach pain. The FSA recommended that children showing signs of hyperactivity or attention deficit hyperactivity disorder (ADHD) should avoid"
E160c,Paprika extract; Capsanthian; Capsorubin,,Colouring agent,
E160d,Lycopene,,Colouring agent,
E160e,Beta-apo-8'-carotenal (C30),,Colouring agent,
E160f,Ethyl ester of beta-apo-8'-carotenoic acid (C30),,Colouring agent,
E161 a: g,Xanthrophylls,,Carotenoid pigments providing natural yellow to red colours.,
E161b,Lutein,,Colouring agent,
E161g,Canthaxanthin,,Colouring agent,
E162,Betanin (Beetroot Red),,Naturally occurring red/purple colour in beetroots.,
E163,Anthocyanins,,Plant pigments with colours ranging from red to blue.,
E164,Gardenia Yellow,Gardenia Yellow,"Used in the food and beverage industry as a preservative and as an emulsifier, specifically in seafood, meats, and poultry, can make seafood appear firmer, smoother and glossier","Should be avoided by certain people, including those with Kidney Disease"
E170,Calcium Carbonate (Chalk),,"Naturally occurring mineral. It has various functions including acid regulator, firming agent, releasing agent and nutrient.",
E171,Titanium dioxide,,Colouring agent,
E172,Iron oxide,,Naturally occurring mineral. Added to fortify food.,
E173,Aluminium,,Colouring agent,
E174,Silver,,Colouring agent,
E175,Gold,,Colouring agent,
E180,Litholrubine BK,,Colouring agent,
E200,Sorbic Acid,,Naturally occurring in some fruit but generally manufactured synthetically for use as a food preservative.,
E201,Sodium Sorbate,,Salt of Sorbic Acid.,
E202,Potassium Sorbate,,Salt of Sorbic Acid.,
E203,Calcium Sorbate,,Salt of Sorbic Acid.,
E210,Benzoic Acid,,"Occurs naturally in cherry bark, raspberries, tea, anise and cassia bark, but largely prepared synthetically for commercial use.",
E211,Sodium Benzoate,,Salt of Benzoic Acid.,
E212,Potassium Benzoate,,Salt of Benzoic Acid.,
E213,Calcium Benzoate,,Salt of Benzoic Acid.,
E214,Ethyl p-hydroxybenzoate,,Preservative,
E214-219,Hydroxy Benzoate salts,,Salts of Benzoic Acid.,
E215,Sodium ethyl p-hydroxybenzoate,,Preservative,
E216,Propyl p-hydroxybenzoate,,Preservative,
E217,Sodium propyl p-hydroxybenzoate,,Preservative,
E218,Methyl p-hydroxybenzoate,,Preservative,
E219,Sodium methyl p-hydroxybenzoate,,Preservative,
E220,Sulfur Dioxide,,"Gas prepared chemically for use as a food preservative, flour improver, bleaching agent and vitamin C stabiliser.",
E221,Sodium sulphite,,Preservative,
E222,Sodium Hydrogen Sulphite/Bisulphite,,Synthetic preservative and bleaching agent.,
E223,Sodium Metabisulphite,,Synthetic preservative.,
E224,Potassium metabisulphite,,Preservative,
E226,Calcium sulphite,,Preservative,
E227,Calcium hydrogen sulphite,,Preservative,
E228,Potassium hydrogen sulphite,,Preservative,
E230,Biphenyl; diphenyl,,Preservative,
E231,Orthophenyl phenol,,Preservative,
E232,Sodium orthophenyl phenol,,Preservative,
E234,Nisin,,Preservative,
E235,Natamycin,,Preservative,
E239,Hexamethylene tetramine,,Preservative,
E242,Dimethyl dicarbonate,,Preservative,
E249,Potassium Nitrite,Potassium Nitrite,Naturally occurring mineral used as a preservative and as a colour fixative.,"May cause dizziness, headaches, difficult breathing, potential carcinogen. NOT SUITABLE FOR BABIES UNDER SIX MONTHS. Causes destruction of red blood corpuscles, Cancer, Asthma."
E250,Sodium nitrite,,Preservative,
E250,Sodium Nitrite,Celery juice,Derived from sodium nitrate by chemical or bacterial action. Acts as a preservative and colour fixative.,"Under certain conditions, such as in processed meats, like hot dogs, luncheon meats and sausages, sodium nitrite and nitrate react with amino acids to form cancer-causing chemicals called nitrosamines. This reaction can be hindered by the addition of ascorbic acid, erythorbic acid, or alphatocopherol. 'Organic' manufacturers replace sodium nitrite and nitrate with celery juice which naturally contains very high eves of sodium nitrite, but the harmful effects remain the same. When the label says 'no added nitrites' but there is celery juice, food scientists say it still causes colon cancer just the same. NOT SUITABLE FOR BABIES UNDER SIX MONTHS"
E251,Sodium Nitrate,,Naturally occurring mineral usually manufactured synthetically for use as a food preservative and colour fixative.,
E252,Potassium Nitrate,,Naturally occurring but more usually produced artificially from waste animal and vegetable material. This additive is one of the oldest and most effective preservatives for meat. Also acts as a curing agent.,
E260,Acetic Acid,,"Natural component of vinegar but generally manufactured from wood. Used as a preservative, acid or colour diluent.",
E260,Acetic acid,,,
E261,Potassium acetate,,,
E262,Sodium acetate,,,
E263,Calcium acetate,,,
E270,Lactic acid,,,
E270,Lactic Acid,,"Produced by the fermentation of lactose, which is the sugar present in milk. It occurs naturally in soured milk and yogurt and acts as a preservative, acid, flavour and assists the action of anti-oxidants.",
E280,Propionic Acid,,"Fatty acid produced by animals in the process of digestion, but generally manufactures synthetically. Functions as a preservative.",
E281,Sodium Propionate,,Salt of propionic acid.,
E282,Calcium Propionate,,Salt of propionic acid. Found naturally in Swiss cheese.,
E283,Potassium Propionate,,Salt of propionic acid.,
E284,Boric acid,,Preservative,
E285,Sodium tetraborate; borax,,Preservative,
